Candidate,Channel,Sentimental_Title,Sentimental_Comment
Progressive,Conservative,-41.00820869207382,-9.086078468456186
Progressive,Conservative,-34.345370531082146,-10.54756484123884
Progressive,Conservative,-45.38823068141937,-10.97310215146059
Progressive,Conservative,-41.09853580594063,-1.279146064326401
Progressive,Conservative,-34.39103811979294,-19.69543925353459
Progressive,Conservative,-31.083832681179054,-11.05158995127394
Progressive,Conservative,-45.65732926130295,-8.074233878398518
Progressive,Conservative,59.279024600982666,-9.019842648413032
Progressive,Conservative,-43.639571219682686,-1.561183651870827
Progressive,Conservative,-36.3373801112175,-13.66411848925054
Progressive,Conservative,-31.864023208618157,-10.12610138676475
Progressive,Conservative,-34.72067564725876,-21.06565067427791
Progressive,Conservative,-49.60623774677515,9.035951557258764
Progressive,Conservative,-11.753463745117191,-3.977767120608512
Progressive,Conservative,-32.74238407611847,-10.22058017767483
Progressive,Conservative,-44.72435303032398,-24.94994134638967
Progressive,Conservative,-37.27096319198608,-5.322059494884391
Progressive,Conservative,62.49123811721802,-16.91583566134796
Progressive,Conservative,-35.328027606010444,-6.535888853023288
Progressive,Conservative,-34.81376320123672,-10.7351979534877
Progressive,Conservative,53.402119874954224,-4.338444853296059
Progressive,Conservative,-25.183291733264916,-13.24936353521031
Progressive,Conservative,-26.794680953025818,-8.74492314318756
Progressive,Conservative,-33.908790349960334,-3.158671257898528
Progressive,Conservative,-40.14690518379211,-2.844290123289438
Progressive,Conservative,-27.886885404586792,-7.747410153652626
Progressive,Conservative,74.19366836547852,-14.66093728514878
Progressive,Conservative,78.46629023551941,-7.078187676464639
Progressive,Conservative,-35.86099147796631,-11.56786279347928
Progressive,Conservative,-2.9878884553909297,-1.563360728529504
Progressive,Conservative,-37.45930641889572,-7.707078534466543
Progressive,Conservative,-18.823972344398502,-18.06935752808516
Progressive,Conservative,-34.70747023820877,18.12922901570283
Progressive,Conservative,98.39692115783691,17.87968610743524
Progressive,Conservative,-29.533810913562768,-5.6686289186473
Progressive,Conservative,-30.726373195648186,12.21669566418443
Progressive,Conservative,-42.98684000968933,-21.84414557893487
Progressive,Conservative,-45.25019973516464,-27.42731353733689
